shift_id,date,start_time,end_time,requirements
5096,2026-08-28,09:00,17:00,nurses=3;doctors=0;receptionists=0
5053,2026-08-17,08:00,16:00,nurses=3;doctors=1;receptionists=1
5010,05/08/2026,09:00,17:00,nurses=1;doctors=0;receptionists=1
5103,2026-08-29,22:00,06:00,nurses=3;doctors=2;receptionists=1
5101,29/08/2026,09:00,17:00,nurses=3;doctors=1;receptionists=1
5065,20/08/2026,08:00,16:00,nurses=2;doctors=1;receptionists=0
5110,2026-02-30,08:00,16:00,nurses=1
5017,2026-08-07,09:00,17:00,nurses=3;doctors=2;receptionists=1
5109,2026-08-12,15:00,09:00,nurses=2;doctors=1
5078,23/08/2026,16:00,00:00,nurses=2;doctors=2;receptionists=0
5105,2026-08-30,14:00,22:00,nurses=2;doctors=2;receptionists=1
5115,2026-08-21,08:00,10:00+1,nurses=2
5050,2026-08-16,22:00,06:00,nurses=2;doctors=1;receptionists=1
5020,2026-08-08,22:00,06:00,nurses=1;doctors=0;receptionists=0
5097,2026-08-28,16:00,00:00,nurses=3;doctors=1;receptionists=0
5002,2026-08-03,22:00,06:00,nurses=2;doctors=0;receptionists=0
5008,2026-08-05,07:30,15:30,nurses=1;doctors=0;receptionists=1
5087,25/08/2026,16:00,00:00,nurses=2;doctors=1;receptionists=1
5063,19/08/2026,07:30,15:30,nurses=3;doctors=1;receptionists=0
5102,29/08/2026,08:00,16:00,nurses=2;doctors=1;receptionists=0
5073,2026-08-22,14:00,22:00,nurses=3;doctors=1;receptionists=0
5071,21/08/2026,09:00,17:00,nurses=3;doctors=1;receptionists=1
5072,22/08/2026,16:00,00:00,nurses=2;doctors=1;receptionists=0
5098,2026-08-28,14:00,22:00,nurses=1;doctors=1;receptionists=1
5111,09/08/2026,10:00,18:00,nurses=2
5013,2026-08-06,08:00,16:00,nurses=2;doctors=2;receptionists=0
5099,2026-08-28,14:00,22:00,nurses=3;doctors=1;receptionists=0
5085,2026-08-25,07:30,15:30,nurses=2;doctors=0;receptionists=0
5043,2026-08-14,14:00,22:00,nurses=2;doctors=2;receptionists=0
5033,2026-08-11,09:00,17:00,nurses=2;doctors=2;receptionists=1
5082,24/08/2026,09:00,17:00,nurses=2;doctors=2;receptionists=0
5020,2026-08-08,22:00,06:00,nurses=1;doctors=0;receptionists=0
5077,2026-08-23,14:00,22:00,nurses=3;doctors=1;receptionists=1
5014,2026-08-06,22:00,06:00,nurses=1;doctors=0;receptionists=0
5026,2026-08-09,08:00,16:00,nurses=1;doctors=1;receptionists=0
5049,2026-08-16,14:00,22:00,nurses=1;doctors=2;receptionists=1
5090,2026-08-26,07:30,15:30,nurses=1;doctors=0;receptionists=0
5081,2026-08-24,16:00,00:00,nurses=2;doctors=0;receptionists=1
5019,2026-08-08,08:00,16:00,nurses=3;doctors=1;receptionists=0
5106,30/08/2026,22:00,06:00,nurses=1;doctors=0;receptionists=0
5041,08-13-2026,16:00,00:00,nurses=3;doctors=2;receptionists=0
5009,2026-08-05,16:00,00:00,nurses=2;doctors=2;receptionists=0
5052,2026-08-17,16:00,00:00,nurses=1;doctors=2;receptionists=0
5091,2026-08-26,16:00,00:00,nurses=3;doctors=0;receptionists=0
5059,2026-08-18,22:00,06:00,nurses=3;doctors=2;receptionists=1
5048,2026-08-16,09:00,17:00,nurses=3;doctors=1;receptionists=0
5113,2026-08-18,08:00,16:00,two nurses and a doctor
5025,2026-08-09,16:00,00:00,nurses=1;doctors=2;receptionists=1
5004,2026-08-04,08:00,16:00,nurses=1;doctors=2;receptionists=0
5007,05/08/2026,22:00,06:00,nurses=2;doctors=0;receptionists=1
5056,2026-08-17,07:30,15:30,nurses=2;doctors=2;receptionists=1
5064,2026-08-20,08:00,16:00,nurses=1;doctors=0;receptionists=1
5003,2026-08-04,08:00,16:00,nurses=3;doctors=2;receptionists=0
5011,2026-08-05,08:00,16:00,nurses=1;doctors=0;receptionists=0
5021,08-08-2026,09:00,17:00,nurses=1;doctors=1;receptionists=0
5028,2026-08-10,07:30,15:30,nurses=2;doctors=1;receptionists=0
5057,2026-08-18,22:00,06:00,nurses=3;doctors=1;receptionists=1
5030,2026-08-11,14:00,22:00,nurses=3;doctors=0;receptionists=0
5018,07/08/2026,14:00,22:00,nurses=1;doctors=0;receptionists=0
5079,08-23-2026,22:00,06:00,nurses=2;doctors=1;receptionists=0
5000,03/08/2026,22:00,06:00,nurses=3;doctors=2;receptionists=0
5055,2026-08-17,14:00,22:00,nurses=2;doctors=2;receptionists=1
5066,2026-08-20,16:00,00:00,nurses=2;doctors=1;receptionists=0
5062,2026-08-19,09:00,17:00,nurses=3;doctors=2;receptionists=1
5069,2026-08-21,08:00,16:00,nurses=2;doctors=0;receptionists=1
5080,2026-08-23,14:00,22:00,nurses=2;doctors=1;receptionists=0
5006,04/08/2026,16:00,00:00,nurses=1;doctors=2;receptionists=0
5005,2026-08-04,08:00,16:00,nurses=2;doctors=0;receptionists=0
5083,08-24-2026,07:30,15:30,nurses=3;doctors=2;receptionists=0
5016,2026-08-07,08:00,16:00,nurses=2;doctors=1;receptionists=1
5100,2026-08-29,22:00,06:00,nurses=3;doctors=1;receptionists=1
5001,2026-08-03,16:00,00:00,nurses=3;doctors=2;receptionists=1
5038,2026-08-13,22:00,06:00,nurses=3;doctors=0;receptionists=1
5022,2026-08-09,07:30,15:30,nurses=3;doctors=2;receptionists=0
5046,2026-08-15,07:30,15:30,nurses=1;doctors=0;receptionists=0
5104,2026-08-29,16:00,00:00,nurses=2;doctors=0;receptionists=1
5037,2026-08-12,08:00,16:00,nurses=1;doctors=2;receptionists=0
5086,2026-08-25,14:00,22:00,nurses=1;doctors=1;receptionists=1
5012,2026-08-06,16:00,00:00,nurses=1;doctors=1;receptionists=1
5036,2026-08-12,16:00,00:00,nurses=3;doctors=2;receptionists=1
5076,2026-08-22,16:00,00:00,nurses=3;doctors=0;receptionists=0
5107,2026-08-30,16:00,00:00,nurses=3;doctors=0;receptionists=1
5075,2026-08-22,14:00,22:00,nurses=3;doctors=0;receptionists=0
5035,2026-08-12,08:00,16:00,nurses=2;doctors=0;receptionists=1
5061,2026-08-19,09:00,17:00,nurses=1;doctors=2;receptionists=0
5027,10/08/2026,22:00,06:00,nurses=2;doctors=0;receptionists=1
5093,08-27-2026,14:00,22:00,nurses=1;doctors=2;receptionists=0
5023,08-09-2026,16:00,00:00,nurses=3;doctors=2;receptionists=1
5114,2026-08-20,,16:00,nurses=1;doctors=1
5068,2026-08-21,09:00,17:00,nurses=3;doctors=1;receptionists=0
5094,08-27-2026,22:00,06:00,nurses=3;doctors=1;receptionists=1
5040,13/08/2026,07:30,15:30,nurses=3;doctors=0;receptionists=1
